Clave	Nombre	Total 1990	Homicidio	Operaciones legales y de guerra	Total 1991	Homicidio2	Operaciones legales y de guerra 2	Total 1992	Homicidio3	Operaciones legales y de guerra 3	Total 1993	Homicidio4	Operaciones legales y de guerra 4	Total 1994	Homicidio5	Operaciones legales y de guerra 5	Total 1995	Homicidio6	Operaciones legales y de guerra 6	Total 1996	Homicidio7	Operaciones legales y de guerra 7	Total 1997	Homicidio8	Operaciones legales y de guerra 8	Total 1998	Homicidio9	Operaciones legales y de guerra 9	Total 1999	Homicidio10	Operaciones legales y de guerra 10	Total 2000	Homicidio11	Operaciones legales y de guerra 11	Total 2001	Homicidio12	Operaciones legales y de guerra 12	Total 2002	Homicidio13	Operaciones legales y de guerra 13	Total 2003	Homicidio14	Operaciones legales y de guerra 14	Total 2004	Homicidio15	Operaciones legales y de guerra 15	Total 2005	Homicidio16	Operaciones legales y de guerra 16	Total 2006	Homicidio17	Operaciones legales y de guerra 17	Total 2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	Total 2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	Total 2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	Total 2010	Homicidio21	Criminal Rivalry Deaths 4
1	Aguascalientes	443	45	0	502	47	0	427	36	0	422	35	0	462	30	0	422	38	0	386	28	0	406	25	0	387	39	0	432	22	0	422	21	0	407	25	0	505	27	0	508	27	0	466	20	0	493	26	1	470	26	0	510	45	0	25	520	62	0	27	536	68	1	22	564	84	37
2	Baja California	1409	249	0	1379	280	0	1454	288	0	1424	265	0	1427	320	0	1652	369	0	1692	360	0	1720	318	0	1934	547	0	1958	595	0	1846	411	0	1751	386	0	1732	403	0	1863	419	0	1916	442	0	1973	411	0	1907	434	0	1832	351	0	176	2307	1004	0	614	3021	1498	0	399	2922	1503	472
3	Baja California Sur	179	11	0	170	16	0	194	19	0	198	21	0	196	26	0	197	34	0	245	26	0	244	35	0	213	17	0	210	34	0	241	30	0	221	21	0	249	35	0	245	24	0	259	32	0	329	33	0	299	26	0	389	35	0	1	358	36	0	0	299	35	0	0	314	57	0
4	Campeche	418	85	0	400	69	0	371	87	0	358	78	0	342	75	0	359	93	0	366	78	0	404	78	0	393	84	0	398	74	0	376	64	0	322	50	0	380	51	0	366	39	0	327	33	0	365	49	0	350	32	0	356	46	0	0	415	55	0	0	452	58	0	1	396	49	0
5	Coahuila de Zaragoza	1208	179	0	1162	221	0	1141	219	0	1241	214	0	1179	215	0	1032	177	0	1082	169	0	1110	153	0	1055	139	0	980	154	0	958	122	0	1043	153	0	1091	138	0	1011	122	0	940	121	0	1116	150	0	1114	110	0	1204	113	0	0	1197	198	0	0	1438	305	0	0	1758	484	5
6	Colima	430	80	0	447	101	0	480	126	0	328	69	0	371	77	0	346	70	0	278	50	0	331	57	0	271	62	0	281	52	0	283	54	0	302	60	0	281	47	0	293	48	0	287	49	0	269	48	0	289	43	0	307	41	0	2	335	59	1	1	344	61	0	3	397	132	1
7	Chiapas	1803	277	0	1946	475	0	1858	438	0	2021	502	0	2275	635	0	2452	703	0	2273	636	0	2425	599	0	2698	820	0	2332	594	0	2197	414	0	2054	182	0	2148	474	0	2037	438	0	1967	233	2	2125	300	0	2402	534	1	1999	113	0	0	2138	256	0	2	2271	494	0	0	2297	210	0
8	Chihuahua	2461	306	0	2441	460	0	2349	481	0	2408	465	0	2430	560	0	2591	733	0	2312	649	0	2421	638	0	2453	616	0	2238	540	0	2291	592	0	2348	629	0	2471	626	0	2466	532	0	2416	453	6	2424	561	22	2723	632	5	2464	514	9	0	4792	2527	10	0	5632	3594	11	5	8831	6273	4
9	Distrito Federal	4651	1182	0	4915	1027	0	5122	1124	0	4742	1125	0	4585	1088	0	4792	1243	0	4514	1130	0	4678	1072	0	4367	1072	0	4033	901	0	3748	799	0	3893	857	0	3882	825	0	3956	860	0	3539	833	1	3617	750	0	3508	776	5	3500	763	0	0	3445	848	0	0	3435	911	0	0	3534	1022	1
10	Durango	1068	301	0	1123	339	0	1349	614	0	1054	357	0	1081	350	0	966	314	0	1013	251	0	938	253	0	887	262	0	827	217	0	677	165	0	754	173	0	828	189	0	888	202	0	842	169	4	886	178	2	922	185	8	1047	164	4	1	1323	389	3	2	2072	995	2	1	2102	1093	5
11	Guanajuato	2845	389	0	2647	414	0	2377	358	0	2345	385	0	2336	330	0	2153	297	0	2207	306	0	2259	300	0	2347	316	0	2382	250	0	2317	251	0	2246	237	0	2330	207	0	2253	238	0	2271	185	1	2379	231	0	2221	202	0	2395	220	0	0	2516	280	0	0	2612	468	2	3	2558	435	2
12	Guerrero	2157	808	0	2352	1008	0	3178	1574	0	2617	1300	0	2553	1193	0	2528	1260	0	2270	1028	0	2556	1077	0	2464	1119	0	2153	944	0	2006	795	0	1847	638	0	1892	611	0	1773	595	0	1769	596	1	1720	590	0	1980	781	0	2308	752	0	0	2422	990	0	2	3496	1749	0	0	2928	1515	6
13	Hidalgo	1265	207	0	1125	174	0	1204	163	0	1062	140	0	1163	184	0	1100	173	0	1143	148	0	1153	142	0	1281	185	0	1227	139	0	1153	104	0	1154	130	0	1026	78	0	1085	86	0	1234	94	1	1110	80	5	1104	57	1	1169	82	0	0	1250	108	2	1	1575	163	0	0	1170	137	0
14	Jalisco	4069	809	0	3991	775	0	4248	756	0	4166	773	0	3875	699	0	3748	782	0	3642	738	0	3584	610	0	3630	558	0	3623	548	0	3492	480	0	3488	471	0	3540	484	0	3579	467	0	3437	401	0	3386	426	0	3456	461	0	3625	430	0	0	3761	544	0	0	4002	669	0	2	4191	1009	3
15	MÈxico	8291	3481	0	7740	3475	0	7751	3413	0	7495	3373	0	7389	3196	0	6905	2832	0	6995	2848	0	6761	2576	0	6715	2497	0	6425	2237	0	6225	2143	0	6229	2029	0	6266	2050	0	6208	2031	0	6137	1837	1	6327	2127	2	6145	1798	0	6228	1339	0	1	6497	1659	1	1	6777	2002	0	2	7140	2261	7
16	Michoac·n de Ocampo	3199	1169	0	3292	1167	0	3597	1401	0	3379	1345	0	3428	1262	0	3211	1129	0	3533	1117	0	2922	862	0	2675	651	0	2784	674	0	2747	607	0	2659	641	0	2571	544	0	2574	574	0	2605	540	1	2874	687	0	3243	971	0	3110	575	0	0	3135	674	0	0	3219	921	0	1	2999	754	0
17	Morelos	984	369	0	989	334	0	1037	365	0	1139	503	0	1174	475	0	1045	359	0	1010	352	0	953	308	0	926	300	0	914	310	0	807	238	0	821	216	0	739	171	0	788	157	0	758	154	0	813	139	0	806	129	0	809	130	0	0	881	218	0	1	942	255	0	0	1054	472	0
18	Nayarit	777	236	0	814	220	0	744	240	0	792	253	0	791	266	0	617	195	0	564	125	0	598	161	0	549	128	0	527	126	0	550	113	0	562	122	0	658	147	0	624	115	0	626	136	0	644	138	0	647	106	0	663	109	0	6	708	154	0	0	741	194	0	0	1032	513	1
19	Nuevo LeÛn	1494	75	0	1668	99	0	1716	125	0	1587	117	0	1735	138	0	1470	123	0	1351	110	0	1427	120	0	1496	137	0	1511	108	0	1449	109	0	1548	88	0	1467	101	0	1581	135	0	1506	103	0	1689	130	0	1617	160	0	1745	268	0	0	1658	242	0	1	1982	336	0	2	2508	895	15
20	Oaxaca	2607	1197	0	2742	1281	0	2812	1281	0	2786	1338	0	2659	1192	0	2785	1176	0	2621	1128	0	2549	985	0	2485	971	0	2371	796	0	2099	696	0	2090	616	0	2088	602	0	2176	618	0	2015	622	0	2104	548	2	1975	520	2	2130	558	0	0	2196	604	0	1	2172	613	0	0	2274	739	0
21	Puebla	2501	542	0	2531	428	0	2447	553	0	2455	609	0	2572	518	0	2451	585	0	2500	491	0	2529	511	0	2704	522	0	2874	452	0	2493	407	0	2425	429	0	2489	391	0	2524	377	0	2490	379	7	2462	325	26	2385	357	14	2422	281	18	0	2542	363	14	0	2534	370	15	0	2443	382	0
22	QuerÈtaro	685	91	0	707	79	0	712	79	0	652	86	0	692	99	0	734	84	0	623	109	0	679	96	0	756	85	0	721	97	0	754	101	0	829	104	0	738	68	0	721	72	0	814	68	0	765	72	1	740	63	0	763	54	1	0	758	72	0	0	764	83	2	0	835	76	0
23	Quintana Roo	373	55	0	370	54	0	384	51	0	407	73	0	434	155	0	362	71	0	369	65	0	397	80	0	394	70	0	487	83	0	473	76	0	501	97	0	477	68	0	532	123	0	557	119	0	610	73	0	556	64	0	744	118	2	0	759	140	0	0	752	137	0	0	707	142	0
24	San Luis PotosÌ	1259	231	0	1254	216	0	1281	259	0	1153	237	0	1238	237	0	1133	206	0	1126	209	0	1114	204	0	1251	303	0	1186	279	0	1157	269	0	1131	225	0	1172	157	0	1106	144	0	1118	135	2	1145	132	0	1197	155	0	1206	141	0	0	1251	200	0	0	1248	211	0	0	1437	356	0
25	Sinaloa	1614	451	0	1656	532	0	1678	617	0	1667	552	0	1781	609	0	1781	634	0	1810	667	0	1753	604	0	1659	574	0	1655	549	0	1591	473	0	1519	493	0	1534	467	0	1480	426	0	1541	393	0	1659	447	0	1697	489	0	1828	402	0	0	2271	837	0	0	3030	1462	0	0	4019	2449	0
26	Sonora	1296	170	0	1316	195	0	1260	241	0	1286	217	0	1363	250	0	1437	313	0	1500	323	0	1449	270	0	1286	281	0	1363	275	0	1280	199	0	1340	241	0	1264	208	0	1233	227	0	1340	255	0	1395	245	0	1471	239	0	1597	306	0	0	1653	408	0	0	1890	538	0	0	1996	708	0
27	Tabasco	1170	139	0	1294	116	0	1196	141	0	1226	152	0	1325	237	0	1317	239	0	1279	188	0	1325	152	0	1262	141	0	1283	157	0	1213	98	0	1209	102	0	1150	100	0	1163	114	0	1202	112	0	1190	93	0	1364	132	0	1337	137	0	0	1413	145	0	0	1445	184	0	0	1522	191	0
28	Tamaulipas	1531	264	0	1632	327	0	1760	396	0	1866	353	0	1655	333	0	1399	307	0	1309	261	0	1425	264	0	1501	306	0	1402	270	0	1443	239	0	1331	187	0	1309	183	0	1299	226	0	1438	209	0	1543	348	0	1594	353	0	1434	191	0	0	1538	267	1	0	1656	329	0	0	2348	901	0
29	Tlaxcala	478	63	0	435	48	0	430	60	0	421	55	0	456	59	0	476	80	0	466	67	0	480	74	0	490	76	0	539	82	0	461	55	0	489	59	0	554	53	0	480	37	0	463	47	0	439	49	0	526	48	0	465	36	0	0	487	51	0	0	501	73	0	0	450	57	0
30	Veracruz de Ignacio de la Llave	3848	761	0	3912	850	0	3163	734	0	3137	707	0	3265	697	0	3058	634	0	3114	564	0	3217	651	0	3295	529	0	3169	454	0	3136	434	0	3225	414	0	3198	370	0	3175	409	0	2993	345	1	3048	356	1	3031	368	0	3254	375	2	0	3426	377	0	0	4196	713	0	0	3478	497	0
31	Yucat·n	689	60	0	637	61	0	667	43	0	674	65	0	626	48	0	643	50	0	634	43	0	619	47	0	647	50	0	676	36	0	692	39	0	692	36	0	814	50	0	787	60	0	712	39	6	736	37	1	759	41	4	772	50	3	0	777	46	2	0	844	35	1	0	788	35	0
32	Zacatecas	945	140	0	995	151	0	957	163	0	828	141	0	863	130	0	858	166	0	838	125	0	809	121	0	822	134	0	741	94	0	755	85	0	755	93	0	860	104	0	938	99	0	832	99	5	911	78	9	835	79	8	861	75	8	0	915	87	5	0	1016	140	0	0	1034	152	0
